city,distance_km,vehicle_type,mileage_kmpl,fuel_price_per_l,food_type,food_budget_tier,meals_per_day,activity_count,activity_type,needs_accommodation,hotel_cost_per_night,people_count,transport_type,total_daily_expense
Hyderabad,161.3,car,19.3,102.0,cafe,mid_range,3,3,entertainment,1,3024.13,2,rental_vehicle,6988.84
Kochi,50.3,ev,0.2,8.5,veg,budget,3,4,sightseeing,0,0.0,2,rental_vehicle,2380.23
Goa,65.5,ev,0.12,8.5,fast_food,budget,4,1,entertainment,1,3317.14,1,rental_vehicle,4347.01
Jaipur,53.9,ev,0.14,8.5,local_cuisine,mid_range,2,1,beach,0,0.0,2,rental_vehicle,2111.23
Kochi,49.5,ev,0.12,8.5,non_veg,mid_range,4,4,adventure,1,2008.2,2,taxi,6150.11
Goa,152.0,car,20.3,102.0,non_veg,fine_dining,3,5,sightseeing,0,0.0,1,personal_vehicle,3570.22
Hyderabad,90.4,bike,34.0,102.0,fast_food,budget,3,3,sightseeing,1,4227.31,2,taxi,6807.53
Bengaluru,28.1,car,15.1,102.0,cafe,mid_range,3,3,entertainment,0,0.0,1,rental_vehicle,1932.39
Mumbai,154.5,scooter,43.5,102.0,fast_food,mid_range,3,2,beach,0,0.0,1,public_transport,1925.81
Delhi,182.4,car,18.0,102.0,fast_food,budget,4,3,entertainment,0,0.0,4,personal_vehicle,5105.31
Kochi,130.3,scooter,46.8,102.0,local_cuisine,budget,3,3,shopping,0,0.0,1,rental_vehicle,1429.16
Kochi,10.1,bike,47.2,102.0,fast_food,mid_range,3,3,shopping,0,0.0,4,rental_vehicle,5864.26
Goa,108.6,bike,38.1,102.0,veg,budget,3,2,entertainment,0,0.0,1,personal_vehicle,1110.76
Goa,182.6,car,18.8,102.0,cafe,mid_range,4,4,cafe_hopping,1,1679.26,2,taxi,6767.1
Jaipur,130.1,scooter,46.0,102.0,veg,budget,3,5,entertainment,0,0.0,2,public_transport,2763.21
Delhi,132.6,ev,0.19,8.5,non_veg,mid_range,3,1,sightseeing,0,0.0,2,rental_vehicle,2892.55
Mumbai,53.4,ev,0.18,8.5,veg,mid_range,3,1,adventure,1,4131.55,2,personal_vehicle,6878.86
Goa,180.5,ev,0.14,8.5,veg,mid_range,2,4,adventure,1,2948.54,1,personal_vehicle,4244.5
Mumbai,195.0,scooter,42.4,102.0,non_veg,mid_range,3,5,sightseeing,0,0.0,1,rental_vehicle,2489.36
Goa,151.4,car,18.6,102.0,veg,mid_range,3,5,entertainment,1,3135.21,2,rental_vehicle,7288.1
Chennai,119.6,ev,0.19,8.5,local_cuisine,mid_range,3,3,sightseeing,0,0.0,4,rental_vehicle,6092.75
Jaipur,118.7,ev,0.19,8.5,cafe,budget,3,3,shopping,0,0.0,4,rental_vehicle,4202.57
Mumbai,118.3,ev,0.12,8.5,non_veg,budget,3,2,sightseeing,1,1305.5,2,public_transport,3197.9
Mumbai,58.7,ev,0.19,8.5,non_veg,budget,3,4,sightseeing,0,0.0,1,rental_vehicle,1341.59
Delhi,178.5,car,15.8,102.0,non_veg,mid_range,3,3,sightseeing,0,0.0,4,rental_vehicle,6964.91
Delhi,17.4,car,15.6,102.0,local_cuisine,budget,3,4,beach,1,2491.88,3,taxi,6115.2
Delhi,88.2,car,18.4,102.0,local_cuisine,budget,4,2,adventure,0,0.0,1,public_transport,1461.1
Jaipur,45.0,scooter,52.5,102.0,veg,mid_range,2,2,sightseeing,0,0.0,1,rental_vehicle,1311.38
Goa,44.7,bike,35.6,102.0,cafe,mid_range,3,5,cafe_hopping,0,0.0,2,public_transport,3494.57
Bengaluru,155.0,bike,39.5,102.0,veg,mid_range,3,2,shopping,1,4080.72,1,rental_vehicle,6482.57
Bengaluru,187.4,ev,0.19,8.5,cafe,mid_range,3,2,sightseeing,1,3154.69,3,taxi,8249.47
Chennai,164.1,car,21.4,102.0,fast_food,mid_range,3,3,beach,0,0.0,1,rental_vehicle,2330.75
Bengaluru,17.4,scooter,50.2,102.0,veg,mid_range,3,2,shopping,0,0.0,1,public_transport,1435.57
Jaipur,188.0,ev,0.17,8.5,cafe,fine_dining,3,5,sightseeing,0,0.0,2,public_transport,5786.7
Goa,34.3,bike,45.5,102.0,cafe,budget,3,1,entertainment,0,0.0,4,rental_vehicle,2711.42
Jaipur,180.1,bike,31.1,102.0,cafe,fine_dining,2,4,adventure,1,2585.33,1,taxi,5539.0
Jaipur,27.4,ev,0.13,8.5,fast_food,budget,4,1,cafe_hopping,0,0.0,1,public_transport,942.35
Mumbai,32.2,ev,0.17,8.5,non_veg,mid_range,2,5,shopping,0,0.0,3,rental_vehicle,4605.79
Jaipur,107.5,scooter,54.8,102.0,cafe,budget,3,1,museum,1,2192.16,1,personal_vehicle,3296.28
Bengaluru,182.2,car,16.3,102.0,cafe,budget,3,2,beach,0,0.0,1,personal_vehicle,1910.49
Hyderabad,151.7,bike,34.8,102.0,veg,budget,3,1,adventure,0,0.0,3,personal_vehicle,2511.62
Mumbai,184.6,ev,0.16,8.5,local_cuisine,budget,2,1,adventure,0,0.0,4,rental_vehicle,2682.6
Kochi,83.0,car,12.5,102.0,local_cuisine,fine_dining,2,4,beach,0,0.0,1,taxi,2797.55
Bengaluru,60.5,bike,49.5,102.0,fast_food,mid_range,3,1,museum,1,3333.51,1,rental_vehicle,4785.38
Mumbai,166.3,scooter,46.2,102.0,cafe,mid_range,3,2,entertainment,0,0.0,1,personal_vehicle,1709.74
Hyderabad,38.6,bike,45.0,102.0,veg,fine_dining,3,5,sightseeing,0,0.0,1,personal_vehicle,3116.93
Jaipur,20.7,scooter,50.4,102.0,cafe,fine_dining,4,5,cafe_hopping,1,4295.63,3,personal_vehicle,14447.08
Chennai,191.3,bike,34.1,102.0,veg,mid_range,3,4,cafe_hopping,0,0.0,2,rental_vehicle,3800.88
Kochi,156.7,car,15.1,102.0,veg,mid_range,3,3,sightseeing,0,0.0,1,public_transport,2624.55
Bengaluru,163.0,car,13.4,102.0,local_cuisine,fine_dining,3,2,adventure,0,0.0,1,rental_vehicle,4145.94
Delhi,114.0,bike,45.7,102.0,local_cuisine,budget,3,1,museum,1,2499.58,3,personal_vehicle,4759.84
Bengaluru,128.0,scooter,44.9,102.0,fast_food,mid_range,3,1,cafe_hopping,0,0.0,1,rental_vehicle,1606.2
Goa,131.8,ev,0.17,8.5,veg,fine_dining,3,5,shopping,1,1628.24,3,rental_vehicle,10127.2
Jaipur,114.3,bike,39.2,102.0,non_veg,fine_dining,2,2,museum,0,0.0,1,public_transport,2070.07
Chennai,140.7,ev,0.19,8.5,cafe,budget,3,1,entertainment,0,0.0,1,public_transport,975.85
Delhi,80.1,ev,0.17,8.5,non_veg,budget,3,3,cafe_hopping,1,3573.58,1,rental_vehicle,4860.3
Bengaluru,77.3,car,14.4,102.0,veg,mid_range,2,1,sightseeing,0,0.0,1,taxi,1756.75
Chennai,139.0,car,18.5,102.0,non_veg,budget,3,2,cafe_hopping,1,2397.14,1,personal_vehicle,3812.43
Jaipur,79.0,scooter,49.1,102.0,fast_food,budget,4,5,sightseeing,0,0.0,1,rental_vehicle,1699.97
Kochi,45.4,scooter,52.1,102.0,veg,budget,3,5,beach,1,4117.46,2,public_transport,5986.21
Delhi,11.0,scooter,43.9,102.0,fast_food,mid_range,3,3,shopping,0,0.0,2,rental_vehicle,3195.39
Delhi,31.8,scooter,51.5,102.0,cafe,mid_range,4,5,entertainment,0,0.0,1,taxi,2363.36
Bengaluru,114.2,scooter,54.8,102.0,cafe,mid_range,2,5,sightseeing,1,3003.86,1,public_transport,4596.88
Jaipur,167.8,ev,0.14,8.5,cafe,mid_range,4,4,entertainment,0,0.0,2,rental_vehicle,4196.29
Delhi,169.9,ev,0.18,8.5,cafe,budget,2,5,museum,1,3261.23,2,taxi,6115.45
Bengaluru,165.2,car,19.1,102.0,fast_food,mid_range,3,1,sightseeing,0,0.0,1,rental_vehicle,2154.32
Kochi,22.7,ev,0.16,8.5,fast_food,mid_range,3,3,shopping,0,0.0,2,personal_vehicle,3120.17
Mumbai,159.8,scooter,51.3,102.0,cafe,budget,3,4,adventure,1,2627.73,2,rental_vehicle,5248.66
Kochi,111.9,car,20.5,102.0,local_cuisine,budget,3,5,museum,0,0.0,2,rental_vehicle,3110.16
Delhi,113.1,car,18.0,102.0,local_cuisine,budget,4,2,adventure,1,4173.85,1,rental_vehicle,5972.3
Chennai,58.6,ev,0.19,8.5,local_cuisine,budget,4,5,museum,1,1364.39,2,rental_vehicle,4200.89
Delhi,33.7,bike,36.6,102.0,fast_food,mid_range,3,1,museum,0,0.0,3,personal_vehicle,3610.92
Bengaluru,73.4,car,16.1,102.0,non_veg,fine_dining,3,2,entertainment,1,2473.21,1,taxi,5734.1
Chennai,104.7,scooter,40.5,102.0,veg,budget,3,2,beach,0,0.0,2,personal_vehicle,1917.4
Delhi,97.2,ev,0.14,8.5,local_cuisine,mid_range,2,1,museum,0,0.0,1,taxi,1369.35
Jaipur,128.7,bike,39.4,102.0,fast_food,budget,3,2,shopping,0,0.0,1,rental_vehicle,1381.7
Kochi,155.4,ev,0.12,8.5,cafe,budget,3,2,shopping,1,2748.34,3,public_transport,5460.84
Jaipur,87.5,bike,34.4,102.0,fast_food,mid_range,3,1,cafe_hopping,0,0.0,3,taxi,4069.66
Hyderabad,147.0,car,14.4,102.0,fast_food,fine_dining,4,5,adventure,0,0.0,3,public_transport,12254.91
Jaipur,15.0,bike,47.5,102.0,cafe,mid_range,3,5,beach,0,0.0,3,public_transport,5249.03
Hyderabad,16.5,ev,0.16,8.5,veg,mid_range,3,4,shopping,1,1318.42,3,taxi,6355.8
Goa,90.8,car,17.1,102.0,veg,mid_range,3,1,adventure,1,2360.3,1,personal_vehicle,4187.06
Jaipur,141.3,bike,30.4,102.0,non_veg,mid_range,3,1,adventure,0,0.0,1,rental_vehicle,1868.37
Bengaluru,36.6,car,21.0,102.0,fast_food,mid_range,3,1,museum,0,0.0,4,rental_vehicle,5256.27
Jaipur,82.8,scooter,46.3,102.0,non_veg,budget,3,3,museum,1,1707.79,1,taxi,3305.73
Mumbai,66.5,car,21.5,102.0,cafe,mid_range,3,4,entertainment,0,0.0,1,rental_vehicle,2094.99
Mumbai,123.4,scooter,49.3,102.0,non_veg,budget,2,1,sightseeing,0,0.0,2,rental_vehicle,1496.05
Bengaluru,161.9,ev,0.2,8.5,non_veg,budget,3,3,entertainment,1,3723.05,2,personal_vehicle,5850.49
Hyderabad,26.5,ev,0.19,8.5,cafe,mid_range,3,1,shopping,0,0.0,1,rental_vehicle,1481.34
Goa,144.1,car,22.0,102.0,non_veg,mid_range,4,5,cafe_hopping,0,0.0,4,rental_vehicle,8702.88
Mumbai,189.4,scooter,51.2,102.0,local_cuisine,mid_range,3,2,cafe_hopping,0,0.0,2,public_transport,2952.67
Mumbai,142.3,ev,0.14,8.5,local_cuisine,mid_range,3,4,museum,1,3530.07,2,personal_vehicle,7578.42
Bengaluru,176.6,scooter,40.4,102.0,non_veg,fine_dining,2,5,museum,0,0.0,4,public_transport,8741.18
Jaipur,101.2,ev,0.19,8.5,veg,mid_range,3,4,museum,1,812.38,1,taxi,3080.19
Kochi,172.0,scooter,43.5,102.0,veg,budget,4,1,cafe_hopping,0,0.0,2,taxi,2498.34
Hyderabad,177.0,scooter,49.0,102.0,cafe,fine_dining,3,4,entertainment,0,0.0,3,rental_vehicle,8127.68
Jaipur,167.8,scooter,43.5,102.0,non_veg,budget,2,2,entertainment,1,3762.85,2,public_transport,5829.75
Kochi,199.3,car,20.2,102.0,cafe,budget,3,1,beach,0,0.0,1,personal_vehicle,1686.95
Goa,60.5,ev,0.15,8.5,fast_food,fine_dining,3,1,cafe_hopping,1,2838.17,1,taxi,5582.23
Bengaluru,25.4,ev,0.11,8.5,local_cuisine,budget,3,5,adventure,0,0.0,3,taxi,3889.57
Goa,138.8,car,20.6,102.0,veg,fine_dining,3,4,sightseeing,0,0.0,1,personal_vehicle,3485.94
Bengaluru,30.1,car,19.5,102.0,cafe,fine_dining,3,3,cafe_hopping,1,1276.82,1,rental_vehicle,4389.84
Hyderabad,40.5,ev,0.16,8.5,cafe,mid_range,2,5,adventure,0,0.0,2,taxi,3229.55
Goa,165.5,ev,0.11,8.5,non_veg,mid_range,3,4,beach,0,0.0,2,rental_vehicle,3296.53
Delhi,43.0,ev,0.11,8.5,fast_food,budget,3,1,shopping,0,0.0,1,taxi,1085.38
Jaipur,82.9,bike,30.4,102.0,fast_food,budget,2,2,adventure,0,0.0,4,public_transport,2962.18
Jaipur,172.3,car,19.9,102.0,cafe,budget,3,4,adventure,0,0.0,3,rental_vehicle,4185.57
Jaipur,182.8,bike,42.8,102.0,fast_food,budget,4,1,shopping,1,1650.83,1,taxi,3154.78
Chennai,133.8,ev,0.16,8.5,local_cuisine,mid_range,4,1,sightseeing,0,0.0,1,public_transport,1794.38
Mumbai,161.4,ev,0.1,8.5,local_cuisine,fine_dining,2,1,adventure,0,0.0,1,taxi,2209.61
Delhi,91.8,scooter,43.4,102.0,local_cuisine,budget,3,5,shopping,1,1948.34,1,taxi,4005.7
Bengaluru,101.2,car,19.2,102.0,fast_food,mid_range,3,1,entertainment,0,0.0,1,personal_vehicle,1740.4
Delhi,197.5,ev,0.1,8.5,local_cuisine,mid_range,3,2,beach,0,0.0,2,personal_vehicle,2787.53
Delhi,78.0,car,13.3,102.0,non_veg,mid_range,3,2,shopping,0,0.0,1,public_transport,1971.38
Jaipur,144.2,scooter,48.9,102.0,veg,budget,3,2,beach,1,3442.12,3,rental_vehicle,6277.54
Mumbai,180.0,ev,0.16,8.5,non_veg,mid_range,2,4,shopping,0,0.0,2,taxi,3382.59
Hyderabad,133.6,bike,47.4,102.0,non_veg,budget,3,5,museum,1,3237.22,1,rental_vehicle,5024.39
Mumbai,133.6,scooter,46.0,102.0,cafe,budget,2,1,cafe_hopping,0,0.0,3,public_transport,1781.54
Bengaluru,151.1,ev,0.16,8.5,local_cuisine,budget,4,2,sightseeing,0,0.0,2,rental_vehicle,2325.65
